id,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
2,mouse_trajectory,"{""path"":[{""x"":224,""y"":1006,""t"":1597},{""x"":396,""y"":906,""t"":1713},{""x"":914,""y"":624,""t"":1844},{""x"":1364,""y"":468,""t"":1977},{""x"":1364,""y"":466,""t"":2316},{""x"":1456,""y"":256,""t"":2443},{""x"":1564,""y"":98,""t"":2544.0000000000005},{""x"":1578,""y"":88,""t"":2677.000000000001},{""x"":1588,""y"":84,""t"":2811},{""x"":1606,""y"":60,""t"":2943.000000000001},{""x"":1612,""y"":50,""t"":3044.000000000001},{""x"":1616,""y"":44,""t"":3145.000000000001}]}",http://localhost:3000/,1774295940217,,2026-03-23 19:59:00
4,mouse_trajectory,"{""path"":[{""x"":1616,""y"":42,""t"":3262.000000000001}]}",http://localhost:3000/login,1774295943217,,2026-03-23 19:59:03
5,mouse_trajectory,"{""path"":[{""x"":1598,""y"":72,""t"":7680},{""x"":1006,""y"":1082,""t"":7793.000000000002},{""x"":944,""y"":1210,""t"":8016},{""x"":958,""y"":1198,""t"":8127},{""x"":984,""y"":1112,""t"":8233},{""x"":984,""y"":1110,""t"":8481},{""x"":984,""y"":1116,""t"":8594},{""x"":986,""y"":1116,""t"":8729.000000000002},{""x"":1048,""y"":950,""t"":8860},{""x"":1060,""y"":892,""t"":9001},{""x"":1060,""y"":872,""t"":9127},{""x"":1058,""y"":824,""t"":9260}]}",http://localhost:3000/login,1774295946217,,2026-03-23 19:59:06
7,mouse_trajectory,"{""path"":[{""x"":1060,""y"":816,""t"":9361},{""x"":1060,""y"":814,""t"":10223},{""x"":984,""y"":670,""t"":10327},{""x"":954,""y"":624,""t"":10460},{""x"":952,""y"":624,""t"":10647}]}",http://localhost:3000/signup,1774295949218,,2026-03-23 19:59:09
8,mouse_trajectory,"{""path"":[{""x"":952,""y"":624,""t"":13276},{""x"":938,""y"":680,""t"":13377},{""x"":926,""y"":724,""t"":13478},{""x"":910,""y"":728,""t"":13611},{""x"":908,""y"":630,""t"":13745.000000000002}]}",http://localhost:3000/signup,1774295952218,,2026-03-23 19:59:12
10,mouse_trajectory,"{""path"":[{""x"":904,""y"":634,""t"":15270},{""x"":870,""y"":738,""t"":15420},{""x"":852,""y"":766,""t"":15543},{""x"":854,""y"":740,""t"":15677},{""x"":856,""y"":728,""t"":15810},{""x"":856,""y"":728,""t"":15982},{""x"":856,""y"":730,""t"":17495},{""x"":858,""y"":792,""t"":17994},{""x"":858,""y"":792,""t"":18239}]}",http://localhost:3000/signup,1774295955218,,2026-03-23 19:59:15
12,mouse_trajectory,"{""path"":[{""x"":858,""y"":806,""t"":18362.000000000004}]}",http://localhost:3000/signup,1774295958218,,2026-03-23 19:59:18
14,mouse_trajectory,"{""path"":[{""x"":854,""y"":820,""t"":22266},{""x"":812,""y"":900,""t"":22395},{""x"":812,""y"":912,""t"":22551.000000000004},{""x"":812,""y"":912,""t"":22746.000000000004}]}",http://localhost:3000/signup,1774295961219,,2026-03-23 19:59:21
19,mouse_trajectory,"{""path"":[{""x"":910,""y"":750,""t"":1407},{""x"":944,""y"":650,""t"":1524},{""x"":942,""y"":650,""t"":1660},{""x"":546,""y"":394,""t"":1791},{""x"":398,""y"":180,""t"":1923},{""x"":486,""y"":164,""t"":2056},{""x"":486,""y"":162,""t"":2263},{""x"":496,""y"":96,""t"":2390},{""x"":496,""y"":90,""t"":2490.0000000000005},{""x"":496,""y"":68,""t"":2591},{""x"":498,""y"":54,""t"":2726},{""x"":498,""y"":52,""t"":3001},{""x"":498,""y"":38,""t"":3123.0000000000005}]}",http://localhost:3000/,1774295969874,,2026-03-23 19:59:29
22,mouse_trajectory,"{""path"":[{""x"":498,""y"":40,""t"":3594},{""x"":550,""y"":154,""t"":3724},{""x"":592,""y"":234,""t"":3996},{""x"":680,""y"":456,""t"":4143},{""x"":746,""y"":546,""t"":4255},{""x"":848,""y"":568,""t"":4388},{""x"":854,""y"":568,""t"":4509},{""x"":858,""y"":558,""t"":4621},{""x"":858,""y"":558,""t"":4725},{""x"":850,""y"":558,""t"":5410},{""x"":850,""y"":558,""t"":5541},{""x"":850,""y"":558,""t"":5877},{""x"":824,""y"":548,""t"":5990},{""x"":584,""y"":366,""t"":6123},{""x"":690,""y"":398,""t"":6256}]}",http://localhost:3000/products,1774295972874,,2026-03-23 19:59:32
